Metric	Value
52WeekChange	0.47877777
SandP52WeekChange	0.17967165
address1	358 Hall Avenue
address2	PO Box 5030
allTimeHigh	178.52
allTimeLow	0.080078
ask	157.84
askSize	200
auditRisk	6
averageAnalystRating	1.6 - Buy
averageDailyVolume10Day	5885690
averageDailyVolume3Month	9747086
averageVolume	9747086
averageVolume10days	5885690
beta	1.243
bid	157.77
bidSize	400
boardRisk	8
bookValue	11.37
city	Wallingford
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Richard Adam Norwitt J.D.', 'age': 55, 'title': 'President, CEO & Chairman', 'yearBorn': 1970, 'fiscalYear': 2025, 'totalPay': 7692082, 'exercisedValue': 116318816, 'unexercisedValue': 559921728}, {'maxAge': 1, 'name': 'Mr. Craig A. Lampo CPA', 'age': 55, 'title': 'Executive VP & CFO', 'yearBorn': 1970, 'fiscalYear': 2025, 'totalPay': 2327924, 'exercisedValue': 85334320, 'unexercisedValue': 218374432}, {'maxAge': 1, 'name': 'Mr. Luc  Walter', 'age': 66, 'title': 'President of Harsh Environment Solutions Division', 'yearBorn': 1959, 'fiscalYear': 2025, 'totalPay': 2258680, 'exercisedValue': 78473376, 'unexercisedValue': 14723112}, {'maxAge': 1, 'name': 'Mr. William J. Doherty', 'age': 66, 'title': 'President of Communications Solutions Division', 'yearBorn': 1959, 'fiscalYear': 2025, 'totalPay': 2086809, 'exercisedValue': 60368144, 'unexercisedValue': 34096764}, {'maxAge': 1, 'name': 'Mr. Peter J. Straub', 'age': 57, 'title': 'President of the Interconnect & Sensor Systems Division', 'yearBorn': 1968, 'fiscalYear': 2025, 'totalPay': 1599986, 'exercisedValue': 23451120, 'unexercisedValue': 35042932}, {'maxAge': 1, 'name': 'Mr. Michael R. Ivas', 'age': 54, 'title': 'SVP, Corporate Controller & Principal Accounting Officer', 'yearBorn': 1971, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Sherri Ann Scribner', 'title': 'Vice President of Strategy & Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': "Mr. Lance E. D'Amico J.D.", 'age': 56, 'title': 'Executive VP, General Counsel & Secretary', 'yearBorn': 1969, 'fiscalYear': 2025, 'totalPay': 670665, 'exercisedValue': 4586250, 'unexercisedValue': 26096992}, {'maxAge': 1, 'name': 'Mr. Ben J. Reed', 'title': 'Vice President of Corporate Development', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. David M. Silverman', 'age': 47, 'title': 'Executive Vice President of Human Resources', 'yearBorn': 1978, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	7
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	157.51
currentRatio	1.714
customPriceAlertConfidence	HIGH
dateShortInterest	1782777600
dayHigh	158.07
dayLow	152.89
debtToEquity	133.051
discount_to_intrinsic_value	15.25
displayName	Amphenol
dividendDate	1784073600
dividendRate	1.0
dividendYield	0.66
earningsCallTimestampEnd	1785344400
earningsCallTimestampStart	1785344400
earningsGrowth	0.241
earningsQuarterlyGrowth	0.265
earningsTimestamp	1785328200
earningsTimestampEnd	1785328200
earningsTimestampStart	1785328200
ebitda	8171299840
ebitdaMargins	0.31545
enterpriseToEbitda	24.408
enterpriseToRevenue	7.699
enterpriseValue	199443087360
epsCurrentYear	4.89146
epsForward	5.84106
epsTrailingTwelveMonths	3.48
eps_normalized_growth	0.2336172463415147
esgPopulated	False
exDividendDate	1782172800
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	148.8312
fiftyDayAverageChange	8.678787
fiftyDayAverageChangePercent	0.058312953
fiftyTwoWeekChangePercent	47.877777
fiftyTwoWeekHigh	178.52
fiftyTwoWeekHighChange	-21.01001
fiftyTwoWeekHighChangePercent	-0.117689945
fiftyTwoWeekLow	95.19
fiftyTwoWeekLowChange	62.319992
fiftyTwoWeekLowChangePercent	0.6546905
fiftyTwoWeekRange	95.19 - 178.52
financialCurrency	USD
firstTradeDateMilliseconds	689610600000
fiveYearAvgDividendYield	0.83
floatShares	1222385549
forwardEps	5.84106
forwardPE	26.965994
freeCashflow	3563725056
fullExchangeName	NYSE
fullTimeEmployees	170000
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1782864000
graham_intrinsic_value	185.84
grossMargins	0.37919998
grossProfits	9822799872
hasPrePostMarketData	True
heldPercentInsiders	0.00476
heldPercentInstitutions	0.97995
impliedSharesOutstanding	1230234445
industry	Electronic Components
industryDisp	Electronic Components
industryKey	electronic-components
isEarningsDateEstimate	False
language	en-US
lastDividendDate	1782172800
lastDividendValue	0.25
lastFiscalYearEnd	1767139200
lastSplitDate	1718150400
lastSplitFactor	2:1
longBusinessSummary	Amphenol Corporation, together with its subsidiaries, designs, manufactures, and markets electrical, electronic, and fiber optic connectors in the United States, China, and internationally. It operates through three segments: Communications Solutions, Harsh Environment Solutions, and Interconnect and Sensor Systems. The company offers connectors and connector systems, including high speed, radio frequency, power, fiber optic and other interconnect products; busbars and power distribution systems; power interconnect products; and other products. It also provides value-add products, such as backplane interconnect systems, cable assemblies and harnesses, and cable management products; and other products comprising flexible and rigid printed circuit boards, hinges, other mechanical, and production related products. In addition, the company offers consumer device, network infrastructure, and other antennas; coaxial, power, and specialty cables; and sensors and sensor-based products. It sells its products through its sales force, independent representatives, and a network of electronics distributors to original equipment manufacturers, electronic manufacturing services companies, original design manufacturers, and service providers in the automotive, commercial aerospace, communications networks, defense, industrial, information technology and data communications, mobile devices markets. Additionally, the company provides telecommunication and IT networking solutions. The company was founded in 1932 and is headquartered in Wallingford, Connecticut.
longName	Amphenol Corporation
market	us_market
marketCap	193774223360
marketState	REGULAR
maxAge	86400
messageBoardId	finmb_24827
mostRecentQuarter	1774915200
netIncomeToCommon	4465500160
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	185162586316
numberOfAnalystOpinions	18
open	155.05
operatingCashflow	5731299840
operatingMargins	0.27305
overallRisk	6
payoutRatio	0.2385
pegRatio	1.29
phone	203 265 8900
postMarketChange	0.27999878
postMarketChangePercent	0.1768004
postMarketPrice	158.65
postMarketTime	1784066314
previousClose	150.51
priceEpsCurrentYear	32.20102
priceHint	2
priceToBook	13.853122
priceToSalesTrailing12Months	7.4805326
profitMargins	0.17239
quickRatio	1.165
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	buy
recommendationMean	1.55556
region	US
regularMarketChange	7.0
regularMarketChangePercent	4.650854
regularMarketDayHigh	158.07
regularMarketDayLow	152.89
regularMarketDayRange	152.89 - 158.07
regularMarketOpen	155.05
regularMarketPreviousClose	150.51
regularMarketPrice	157.51
regularMarketTime	1784660760
regularMarketVolume	3132796
returnOnAssets	0.13453001
returnOnEquity	0.36825
revenueGrowth	0.584
revenuePerShare	21.181
sector	Technology
sectorDisp	Technology
sectorKey	technology
shareHolderRightsRisk	2
sharesOutstanding	1230234445
sharesPercentSharesOut	0.012999999
sharesShort	15988270
sharesShortPreviousMonthDate	1780012800
sharesShortPriorMonth	17896762
shortName	Amphenol Corporation
shortPercentOfFloat	0.0147
shortRatio	1.64
sourceInterval	15
state	CT
symbol	APH
targetHighPrice	215.0
targetLowPrice	165.0
targetMeanPrice	189.38889
targetMedianPrice	190.0
totalCash	4583099904
totalCashPerShare	3.725
totalDebt	18748899328
totalRevenue	25903800320
tradeable	False
trailingAnnualDividendRate	0.83
trailingAnnualDividendYield	0.005514584
trailingEps	3.48
trailingPE	45.261494
trailingPegRatio	1.2887
triggerable	True
twoHundredDayAverage	140.76366
twoHundredDayAverageChange	16.746338
twoHundredDayAverageChangePercent	0.118967764
typeDisp	Equity
volume	3132796
website	https://www.amphenol.com
zip	06492
