Metric	Value
52WeekChange	0.752072
SandP52WeekChange	0.22662401
address1	6 St James’s Square
allTimeHigh	139.6625
allTimeLow	7.5
ask	95.9
askSize	200
averageAnalystRating	2.3 - Buy
averageDailyVolume10Day	2817280
averageDailyVolume3Month	2625562
averageVolume	2625562
averageVolume10days	2817280
beta	0.646
bid	95.75
bidSize	100
bookValue	38.281
city	London
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Simon Callas Trott BSc(Hon), GAICD, GradDipFin', 'age': 50, 'title': 'CEO & Executive Director', 'yearBorn': 1975, 'fiscalYear': 2025, 'totalPay': 3391000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Peter Lloyd Cunningham B.A.', 'age': 59, 'title': 'CFO & Director', 'yearBorn': 1966, 'fiscalYear': 2025, 'totalPay': 1835000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jerome X. Pecresse', 'age': 58, 'title': 'Chief Executive of Aluminium & Lithium, President and CEO of Renewable Energy', 'yearBorn': 1967, 'fiscalYear': 2025, 'totalPay': 2018000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Katie  Jackson', 'title': 'Chief Executive of Copper Business', 'fiscalYear': 2025, 'totalPay': 1511000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Matthew  Holcz', 'title': 'Chief Executive of Iron Ore', 'fiscalYear': 2025, 'totalPay': 1123432, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Mark  Davies', 'title': 'Chief Safety & Technical Officer', 'fiscalYear': 2025, 'totalPay': 1462000, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Rachel  Arellano', 'title': 'Head of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Isabelle  Deschamps', 'age': 55, 'title': 'Chief Legal, Governance & Corporate Affairs Officer', 'yearBorn': 1970, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Georgie  Bezette', 'title': 'Chief People Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Bold  Baatar', 'age': 51, 'title': 'Chief Commercial Officer', 'yearBorn': 1974, 'fiscalYear': 2025, 'totalPay': 2923000, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
corporateActions	[]
country	United Kingdom
cryptoTradeable	False
currency	USD
currentPrice	95.58
currentRatio	1.445
customPriceAlertConfidence	HIGH
dateShortInterest	1780012800
dayHigh	96.68
dayLow	95.2
debtToEquity	35.432
displayName	Rio Tinto
dividendDate	1776297600
dividendRate	4.02
dividendYield	4.21
