Earnings Date	EPS Estimate	Reported EPS	Surprise(%)
2026-05-26 16:00:00-04:00	1.26		
2026-02-26 19:00:00-05:00	0.8	0.64	-19.78
2025-11-19 04:00:00-05:00	0.66	0.62	-4.68
2025-08-20 04:00:00-04:00	0.54	0.31	-42.12
2025-05-28 03:00:00-04:00	0.61	0.48	-20.85
2025-03-05 00:00:00-05:00	0.54	0.42	-22.34
2024-11-20 06:00:00-05:00	0.65	0.46	-28.76
2024-08-21 06:00:00-04:00	0.95	0.75	-20.98
2024-05-23 00:00:00-04:00	-1.0	-3.04	-204.3
2024-02-27 19:00:00-05:00	1.06	0.71	-32.75
2023-11-16 06:00:00-05:00	2.06	1.68	-18.25
2023-08-16 20:00:00-04:00	2.51	2.03	-19.11
2023-05-18 02:00:00-04:00	3.01	2.63	-12.66
2023-03-02 19:00:00-05:00	3.81	4.03	5.77
2022-11-16 19:00:00-05:00	3.32	3.85	15.96
2022-08-18 02:00:00-04:00	3.15	3.01	-4.64
2022-05-19 02:00:00-04:00	1.51	2.79	84.23
2022-03-03 19:00:00-05:00	0.89	1.13	26.42
2021-11-18 06:00:00-05:00	0.49	0.37	-24.64
2021-08-19 07:00:00-04:00	0.32	0.31	-1.9
2021-05-20 06:00:00-04:00	0.25	0.26	3.17
2021-03-03 21:00:00-05:00	0.2	0.3	49.34
2020-11-19 06:00:00-05:00	0.22	0.14	-38.9
2020-08-20 06:00:00-04:00	0.21	0.19	-9.52
2020-05-20 06:00:00-04:00	0.24	0.17	-28.7
