Date	Sentiment_Daily	News_Volume
2025-11-30	0.0000	1
2026-02-06	0.0000	1
2026-02-27	0.0000	1
2026-03-20	0.0000	1
2026-03-27	0.0000	1
2026-04-06	0.1360	1
2026-04-10	0.0000	1
2026-04-16	0.0000	1
2026-04-17	0.0000	3
2026-04-20	0.0000	2
2026-04-21	0.0385	13
2026-04-22	0.0411	23
2026-04-23	0.0508	49
2026-04-24	-0.0014	5
2026-04-26	0.1107	7
2026-04-27	0.0455	19
2026-04-28	0.0307	58
2026-04-29	0.0293	4
2026-04-30	-0.0123	13
2026-05-01	0.1667	3
2026-05-02	-0.0008	10
2026-05-03	-0.0225	10
2026-05-04	0.0492	51
2026-05-05	0.0339	19
2026-05-06	0.0691	61
2026-05-07	0.0447	58
2026-05-08	0.0000	1
2026-05-09	0.2740	3
2026-05-10	0.0723	3
2026-05-11	0.0024	62
2026-05-12	0.0570	13
2026-05-13	0.1907	3
2026-05-14	0.0601	61
2026-05-16	-0.3165	2
2026-05-17	-0.0645	2
2026-05-18	0.0883	19
2026-05-19	0.0599	61
