Date	Sentiment_Daily	News_Volume
2025-06-27	0.0500	1
2025-07-30	0.0500	1
2025-08-05	0.0000	1
2025-08-11	0.0000	1
2025-10-01	0.2000	1
2025-10-07	0.0420	1
2025-10-18	0.0000	1
2025-10-21	0.3500	1
2025-11-05	0.0000	1
2025-11-17	0.0500	1
2025-11-18	0.0000	1
2025-11-19	0.2000	1
2025-12-07	0.5630	1
2025-12-08	0.0000	1
2025-12-15	0.1000	1
2025-12-18	0.0000	1
2025-12-19	0.0000	1
2026-01-08	-0.1000	1
2026-01-12	0.0000	1
2026-01-15	0.0000	1
2026-01-21	0.0000	1
2026-01-22	0.4330	1
2026-01-23	0.0000	1
2026-01-26	0.4000	1
2026-01-28	0.0000	1
2026-01-30	0.0670	1
2026-01-31	0.0000	1
2026-02-05	0.0500	1
2026-02-08	0.0000	1
2026-02-09	-0.1250	1
2026-02-10	0.2330	1
2026-02-11	0.2000	1
2026-02-12	0.0875	4
2026-02-13	0.0000	1
2026-02-16	0.0125	2
2026-02-17	0.1180	2
2026-02-18	0.0927	12
2026-02-19	0.0000	2
2026-02-20	0.0066	87
2026-02-21	-0.0448	5
2026-02-22	0.0609	13
2026-02-23	0.0514	36
2026-02-24	0.0688	4
2026-02-25	0.0000	1
2026-02-26	0.0670	4
2026-02-27	0.0680	2
2026-02-28	0.1250	4
2026-03-01	0.2500	1
2026-03-02	0.0897	55
2026-03-03	0.0296	40
2026-03-04	0.0000	1
2026-03-05	0.0548	50
2026-03-06	0.0000	1
2026-03-07	-0.0035	2
2026-03-08	-0.0053	6
2026-03-09	0.0605	31
2026-03-10	0.0574	20
2026-03-11	0.0390	27
2026-03-12	-0.1560	1
2026-03-13	0.0680	2
2026-03-14	0.0066	5
2026-03-15	0.1250	1
2026-03-16	0.0352	30
2026-03-17	-0.0289	7
2026-03-18	0.0736	5
2026-03-19	0.1250	6
2026-03-20	0.2500	1
2026-03-21	0.0000	4
2026-03-22	0.0000	1
2026-03-23	0.0181	18
2026-03-24	-0.0070	3
2026-03-25	-0.0296	5
2026-03-26	0.1765	4
2026-03-27	0.0611	33
2026-03-28	-0.1658	4
2026-03-29	-0.0750	2
2026-03-30	0.0000	2
2026-03-31	0.0722	68
2026-04-01	0.0093	14
2026-04-02	-0.0286	7
2026-04-03	0.3000	2
2026-04-04	0.0604	5
2026-04-05	0.0223	3
2026-04-06	0.0473	31
2026-04-07	0.0032	20
2026-04-08	0.4000	1
2026-04-09	-0.0175	81
2026-04-10	-0.1670	1
2026-04-11	0.0000	1
2026-04-12	0.1648	8
2026-04-13	0.0316	26
2026-04-14	0.0669	40
2026-04-15	0.0463	45
2026-04-16	0.0833	71
2026-04-17	0.2345	2
2026-04-18	0.0000	1
2026-04-19	0.0963	12
2026-04-20	0.0494	35
2026-04-21	0.0102	27
2026-04-22	0.0570	19
2026-04-23	0.0646	32
2026-04-24	0.0000	1
2026-04-25	0.2093	3
2026-04-26	0.0000	2
2026-04-27	0.1030	20
2026-04-28	0.0367	23
2026-04-29	0.0000	1
2026-04-30	0.0784	5
2026-05-01	0.0830	1
2026-05-02	-0.0034	5
2026-05-03	0.1300	5
2026-05-04	0.0476	32
2026-05-05	0.0920	23
2026-05-06	0.0666	32
2026-05-07	0.0673	33
2026-05-08	0.0936	5
2026-05-09	0.0000	1
2026-05-10	0.1296	8
2026-05-11	0.0680	27
2026-05-12	0.0043	6
2026-05-13	0.0670	8
2026-05-14	0.0549	59
2026-05-15	0.0670	1
2026-05-16	0.1060	2
2026-05-17	0.0000	1
2026-05-18	0.0758	22
2026-05-19	0.0494	48
2026-05-20	0.1133	19
2026-05-21	0.0384	27
2026-05-22	-0.0750	2
2026-05-24	-0.1310	4
2026-05-25	0.0438	8
2026-05-26	0.0454	36
2026-05-27	0.0000	3
2026-05-28	-0.0299	24
2026-05-29	0.0718	67
2026-05-30	0.2000	3
2026-05-31	0.0000	1
2026-06-01	0.0194	50
2026-06-02	-0.0120	2
2026-06-03	-0.0213	51
2026-06-04	-0.0750	5
2026-06-05	0.0566	46
2026-06-06	0.0226	23
2026-06-07	0.0583	6
2026-06-08	-0.0188	18
2026-06-09	0.0288	53
2026-06-10	0.0667	6
2026-06-11	0.0444	9
2026-06-12	0.0354	52
2026-06-13	0.2670	1
2026-06-14	0.0000	1
2026-06-15	0.0507	22
