Metric	Value
address1	Boston, MA 02109
address2	82 Devonshire Street
address3	Fidelity Advisor Series I
allTimeHigh	56.91
allTimeLow	9.1
annualHoldingsTurnover	0.57
annualReportExpenseRatio	0.0121
averageDailyVolume10Day	0
averageDailyVolume3Month	0
averageVolume	0
averageVolume10days	0
beta3Year	1.13
bookValue	48.741
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	NONE
dividendRate	0.304
dividendYield	0.52
epsTrailingTwelveMonths	17.592
esgPopulated	False
exchange	NAS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	51.7622
fiftyDayAverageChange	2.047802
fiftyDayAverageChangePercent	0.039561726
fiftyTwoWeekChangePercent	21.52213
fiftyTwoWeekHigh	55.11
fiftyTwoWeekHighChange	-1.2999992
fiftyTwoWeekHighChangePercent	-0.023589171
fiftyTwoWeekLow	42.62
fiftyTwoWeekLowChange	11.190002
fiftyTwoWeekLowChangePercent	0.26255286
fiftyTwoWeekRange	42.62 - 55.11
financialCurrency	USD
firstTradeDateMilliseconds	441642600000
fullExchangeName	Nasdaq
fundInceptionDate	1210291200
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	False
language	en-US
lastCapGain	23.0
lastDividendValue	0.304
longBusinessSummary	The fund normally invests primarily in common stocks. It invests in securities of companies that the advisor believes are undervalued in the marketplace in relation to factors such as assets, sales, earnings, or growth potential (stocks of these companies are often called "value" stocks). The advisor focuses investments in medium-sized companies, but also may invest substantially in larger or smaller companies. The fund invests in domestic and foreign issuers.
longName	Fidelity Advisor Value Strategies Fund
market	us_market
marketCap	1391523456
marketState	REGULAR
maxAge	86400
messageBoardId	finmb_28114349
morningStarOverallRating	4
morningStarRiskRating	5
netAssets	2138455170.0
netExpenseRatio	1.21
previousClose	53.690002
priceHint	2
priceToBook	1.1039987
quoteSourceName	Delayed Quote
quoteType	MUTUALFUND
region	US
regularMarketChange	0.12
regularMarketChangePercent	0.2235053
regularMarketPreviousClose	53.690002
regularMarketPrice	53.81
regularMarketTime	1779192604
sharesOutstanding	25941900
shortName	Fidelity Advisor Value Strategi
sourceInterval	15
symbol	FASPX
totalAssets	2138455168
tradeable	False
trailingAnnualDividendRate	0.29
trailingAnnualDividendYield	0.005401378
trailingPE	3.0587769
trailingPegRatio	None
trailingThreeMonthReturns	9.26185
triggerable	False
twoHundredDayAverage	49.7687
twoHundredDayAverageChange	4.0413017
twoHundredDayAverageChangePercent	0.08120167
typeDisp	Fund
yield	0.0052
ytdReturn	18.22511
