Metric	Value
address1	Boston, MA 02109
address2	82 Devonshire Street
address3	Fidelity Advisor Series I
allTimeHigh	56.91
allTimeLow	9.1
annualHoldingsTurnover	0.57
annualReportExpenseRatio	0.0121
averageDailyVolume10Day	0
averageDailyVolume3Month	0
averageVolume	0
averageVolume10days	0
beta3Year	1.13
bookValue	48.741
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	NONE
dividendRate	0.304
dividendYield	0.52
epsTrailingTwelveMonths	17.592
esgPopulated	False
exchange	NAS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	52.8852
fiftyDayAverageChange	2.9748
fiftyDayAverageChangePercent	0.056250144
fiftyTwoWeekChangePercent	28.370916
fiftyTwoWeekHigh	55.79
fiftyTwoWeekHighChange	0.069999695
fiftyTwoWeekHighChangePercent	0.0012546997
fiftyTwoWeekLow	43.46
fiftyTwoWeekLowChange	12.400002
fiftyTwoWeekLowChangePercent	0.28531986
fiftyTwoWeekRange	43.46 - 55.79
financialCurrency	USD
firstTradeDateMilliseconds	441642600000
fullExchangeName	Nasdaq
fundInceptionDate	1210291200
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	False
language	en-US
lastCapGain	23.0
lastDividendValue	0.304
longBusinessSummary	The fund normally invests primarily in common stocks. It invests in securities of companies that the advisor believes are undervalued in the marketplace in relation to factors such as assets, sales, earnings, or growth potential (stocks of these companies are often called "value" stocks). The advisor focuses investments in medium-sized companies, but also may invest substantially in larger or smaller companies. The fund invests in domestic and foreign issuers.
longName	Fidelity Advisor Value Strategies Fund
market	us_market
marketCap	1391523456
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_28114349
morningStarOverallRating	4
morningStarRiskRating	5
netAssets	2138455170.0
netExpenseRatio	1.21
previousClose	55.79
priceHint	2
priceToBook	1.1460577
quoteSourceName	Delayed Quote
quoteType	MUTUALFUND
region	US
regularMarketChange	0.07
regularMarketChangePercent	0.12547052
regularMarketPreviousClose	55.79
regularMarketPrice	55.86
regularMarketTime	1780527210
sharesOutstanding	25941900
shortName	Fidelity Advisor Value Strategi
sourceInterval	15
symbol	FASPX
totalAssets	2138455168
tradeable	False
trailingAnnualDividendRate	0.29
trailingAnnualDividendYield	0.005198064
trailingPE	3.1753073
trailingPegRatio	None
trailingThreeMonthReturns	9.26185
triggerable	False
twoHundredDayAverage	50.2113
twoHundredDayAverageChange	5.6487007
twoHundredDayAverageChangePercent	0.1124986
typeDisp	Fund
yield	0.0052
ytdReturn	18.22511
