Metric	Value
address1	Boston, MA 02109
address2	82 Devonshire Street
address3	Fidelity Advisor Series I
allTimeHigh	56.91
allTimeLow	9.1
annualHoldingsTurnover	0.57
annualReportExpenseRatio	0.0121
averageDailyVolume10Day	0
averageDailyVolume3Month	0
averageVolume	0
averageVolume10days	0
beta3Year	1.13
bookValue	48.741
companyOfficers	[]
corporateActions	[]
cryptoTradeable	False
currency	USD
customPriceAlertConfidence	NONE
dividendRate	0.304
dividendYield	0.52
epsTrailingTwelveMonths	17.592
esgPopulated	False
exchange	NAS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	52.3614
fiftyDayAverageChange	3.1086006
fiftyDayAverageChangePercent	0.05936817
fiftyTwoWeekChangePercent	28.07666
fiftyTwoWeekHigh	55.47
fiftyTwoWeekHighChange	0.0
fiftyTwoWeekHighChangePercent	0.0
fiftyTwoWeekLow	42.87
fiftyTwoWeekLowChange	12.600002
fiftyTwoWeekLowChangePercent	0.29391187
fiftyTwoWeekRange	42.87 - 55.47
financialCurrency	USD
firstTradeDateMilliseconds	441642600000
fullExchangeName	Nasdaq
fundInceptionDate	1210291200
gmtOffSetMilliseconds	-14400000
hasPrePostMarketData	False
language	en-US
lastCapGain	23.0
lastDividendValue	0.304
longBusinessSummary	The fund normally invests primarily in common stocks. It invests in securities of companies that the advisor believes are undervalued in the marketplace in relation to factors such as assets, sales, earnings, or growth potential (stocks of these companies are often called "value" stocks). The advisor focuses investments in medium-sized companies, but also may invest substantially in larger or smaller companies. The fund invests in domestic and foreign issuers.
longName	Fidelity Advisor Value Strategies Fund
market	us_market
marketCap	1391523456
marketState	REGULAR
maxAge	86400
messageBoardId	finmb_28114349
morningStarOverallRating	4
morningStarRiskRating	5
netAssets	2138455170.0
netExpenseRatio	1.21
previousClose	55.460003
priceHint	2
priceToBook	1.1380563
quoteSourceName	Delayed Quote
quoteType	MUTUALFUND
region	US
regularMarketChange	0.01
regularMarketChangePercent	0.018031012
regularMarketPreviousClose	55.460003
regularMarketPrice	55.47
regularMarketTime	1779970205
sharesOutstanding	25941900
shortName	Fidelity Advisor Value Strategi
sourceInterval	15
symbol	FASPX
totalAssets	2138455168
tradeable	False
trailingAnnualDividendRate	0.29
trailingAnnualDividendYield	0.0052289935
trailingPE	3.153138
trailingPegRatio	None
trailingThreeMonthReturns	9.26185
triggerable	False
twoHundredDayAverage	50.0326
twoHundredDayAverageChange	5.437401
twoHundredDayAverageChangePercent	0.108677156
typeDisp	Fund
yield	0.0052
ytdReturn	18.22511
