Metric	Value
52WeekChange	-0.18734491
SandP52WeekChange	0.20204377
address1	Guanjie Building
address2	Southeast 1st Floor 10# Jiuxianqiao East Road Chaoyang District
allTimeHigh	44.45
allTimeLow	1.39
ask	7.74
askSize	2
averageAnalystRating	1.5 - Strong Buy
averageDailyVolume10Day	6692620
averageDailyVolume3Month	5073398
averageVolume	5073398
averageVolume10days	6692620
beta	0.297
bid	4.73
bidSize	2
bookValue	2.1311576
city	Beijing
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Sheng  Chen', 'age': 56, 'title': 'Co-Founder & Executive Chairman', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Xinyuan  Liu', 'title': 'Head of Director of Investor', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Derek  Li', 'title': 'Group Executive VP & General Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Xiao  Liu', 'age': 44, 'title': 'Rotating President & Group Executive VP', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Shiqi  Wang', 'age': 49, 'title': 'Rotating President & Group Senior VP', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Ju  Ma', 'title': 'Group Executive VP & Rotating President', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Wen  Teng', 'title': 'Rotating Chief Executive Officer', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Kun  Yan', 'title': 'Group Executive Vice President', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Xiaomang  Li', 'title': 'Group Senior Vice President', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Zhihua  Zhang', 'age': 42, 'title': 'Group Senior VP & Head of Operations Finance', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}]
corporateActions	[]
country	China
cryptoTradeable	False
currency	USD
currentPrice	6.06
currentRatio	0.973
customPriceAlertConfidence	HIGH
dateShortInterest	1786665600
dayHigh	6.6
dayLow	6.02
debtToEquity	309.206
displayName	VNET
earningsCallTimestampEnd	1787054400
earningsCallTimestampStart	1787054400
earningsTimestamp	1787056200
earningsTimestampEnd	1795091400
earningsTimestampStart	1795091400
ebitda	3281273088
ebitdaMargins	0.30556
enterpriseToEbitda	9.772
enterpriseToRevenue	2.986
enterpriseValue	32065753088
epsCurrentYear	-6.11499
epsForward	0.15188295
epsTrailingTwelveMonths	-1.27
esgPopulated	False
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fax	86 10 8456 4234
fiftyDayAverage	7.4784
fiftyDayAverageChange	-1.4184003
fiftyDayAverageChangePercent	-0.18966627
fiftyTwoWeekChangePercent	-18.734491
fiftyTwoWeekHigh	14.48
fiftyTwoWeekHighChange	-8.42
fiftyTwoWeekHighChangePercent	-0.5814917
fiftyTwoWeekLow	6.02
fiftyTwoWeekLowChange	0.03999996
fiftyTwoWeekLowChangePercent	0.006644512
fiftyTwoWeekRange	6.02 - 14.48
financialCurrency	CNY
firstTradeDateMilliseconds	1303392600000
floatShares	64057761
forwardEps	0.15188295
forwardPE	39.899147
freeCashflow	-3814723584
fullExchangeName	NasdaqGS
fullTimeEmployees	2784
fulldayChange	-0.49
fulldayChangePercent	-7.48092
fulldayPrice	6.12
gmtOffSetMilliseconds	-14400000
grossMargins	0.20491
grossProfits	2200460032
hasPrePostMarketData	True
heldPercentInsiders	0.0
heldPercentInstitutions	0.61974996
impliedSharesOutstanding	284691643
industry	Information Technology Services
industryDisp	Information Technology Services
industryKey	information-technology-services
isEarningsDateEstimate	True
language	en-US
lastFiscalYearEnd	1767139200
longBusinessSummary	VNET Group, Inc., an investment holding company, provides data center hosting and related services in China. The company offers managed hosting services comprising managed retail services, such as colocation services that dedicate data center space to house customers' servers and networking equipment, as well as allow customers to lease partial or entire cabinets for their servers; interconnectivity services that allow customers to connect their servers; and value-added services, including hybrid IT, bare metal, firewall, server load balancing, data backup and recovery, data center management, server management, and standby server services. It also provides cloud services that allow customers to run applications over the internet using IT infrastructure; and VPN services that extend customers' private networks by setting up connections through the public internet. In addition, the company offers server administration services, including operating system support and assistance with updates, server monitoring, server backup and restoration, server security evaluation, firewall services, and disaster recovery services. It serves information technology and cloud services, communications and social networking, gaming and entertainment, e-commerce, automobile, financial services, and blue-chip and small-to-mid-sized enterprises; government agencies; individuals; and telecommunication carriers. The company was formerly known as 21Vianet Group, Inc. and changed its name to VNET Group, Inc. in October 2021. VNET Group, Inc. was founded in 1996 and is headquartered in Beijing, China.
longName	VNET Group, Inc.
market	us_market
marketCap	1725231360
marketState	POSTPOST
maxAge	86400
messageBoardId	finmb_129459462
mostRecentQuarter	1782777600
nameChangeDate	2026-08-30
netIncomeToCommon	-2381378048
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	1890352508
numberOfAnalystOpinions	14
open	6.55
operatingCashflow	1747992960
operatingMargins	0.0825
payoutRatio	0.0
pegRatio	0.45
phone	86 10 8456 2121
postMarketChange	0.059999943
postMarketChangePercent	0.99009806
postMarketPrice	6.12
postMarketTime	1788220415
prevName	21Vianet Group, Inc.
previousClose	6.55
priceEpsCurrentYear	-0.99100727
priceHint	2
priceToBook	2.843525
priceToSalesTrailing12Months	0.16065536
profitMargins	-0.06237
quickRatio	0.752
quoteSourceName	Nasdaq Real Time Price
quoteType	EQUITY
recommendationKey	strong_buy
recommendationMean	1.5
region	US
regularMarketChange	-0.49
regularMarketChangePercent	-7.48092
regularMarketDayHigh	6.6
regularMarketDayLow	6.02
regularMarketDayRange	6.02 - 6.6
regularMarketOpen	6.55
regularMarketPreviousClose	6.55
regularMarketPrice	6.06
regularMarketTime	1788206400
regularMarketVolume	5448769
returnOnAssets	0.0117
returnOnEquity	-0.04701
revenueGrowth	0.142
revenuePerShare	39.187
sector	Technology
sectorDisp	Technology
sectorKey	technology
sharesOutstanding	279561356
sharesPercentSharesOut	0.1347
sharesShort	38349925
sharesShortPreviousMonthDate	1784073600
sharesShortPriorMonth	42577426
shortName	VNET Group, Inc.
shortPercentOfFloat	0.24159999
shortRatio	10.55
sourceInterval	15
symbol	VNET
targetHighPrice	25.121311
targetLowPrice	7.586438
targetMeanPrice	13.744199
targetMedianPrice	13.393144
totalCash	6720690176
totalCashPerShare	23.692
totalDebt	30983540736
totalRevenue	10738709504
tradeable	False
trailingAnnualDividendRate	0.0
trailingAnnualDividendYield	0.0
trailingEps	-1.27
trailingPegRatio	0.4471
triggerable	True
twoHundredDayAverage	9.1351
twoHundredDayAverageChange	-3.0751004
twoHundredDayAverageChangePercent	-0.3366247
typeDisp	Equity
volume	5448769
website	https://www.vnet.com
zip	100016
