Earnings Date	EPS Estimate	Reported EPS	Surprise(%)
2026-05-05 17:00:00-04:00	-0.73		
2026-02-12 16:00:00-05:00	-0.67	-0.53	21.04
2025-11-04 16:00:00-05:00	-0.71	-0.65	9.19
2025-08-05 16:00:00-04:00	-0.64	-0.8	-25.41
2025-05-06 16:00:00-04:00	-0.92	-0.48	47.98
2025-02-20 16:00:00-05:00	-0.63	-0.47	25.78
2024-11-07 16:00:00-05:00	-0.9	-0.99	-10.78
2024-08-06 21:00:00-04:00	-1.41	-1.46	-3.8
2024-05-06 20:00:00-04:00	-1.27	-1.48	-16.13
2024-02-21 16:00:00-05:00	-1.53	-1.58	-3.06
2023-11-07 16:00:00-05:00	-1.48	-1.44	2.68
2023-08-08 16:00:00-04:00	-1.39	-1.08	22.14
2023-05-09 16:00:00-04:00	-1.78	-1.45	18.58
2023-02-28 16:00:00-05:00	-1.95	-1.73	11.4
2022-11-09 16:00:00-05:00	-1.83	-1.57	14.18
2022-08-11 16:00:00-04:00	-1.63	-1.62	0.87
2022-05-11 16:00:00-04:00	-1.89	-1.77	6.52
2022-03-10 16:00:00-05:00	-1.97	-2.43	-23.34
2021-12-16 16:00:00-05:00	-6.84	-7.68	-12.37
