Metric	Value
52WeekChange	0.70293987
SandP52WeekChange	0.20045388
address1	9 Irodou Attikou Street
address2	Kifisia
allTimeHigh	64.4
allTimeLow	2.61
ask	39.03
askSize	200
averageAnalystRating	2.0 - Buy
averageDailyVolume10Day	537850
averageDailyVolume3Month	366025
averageVolume	366025
averageVolume10days	537850
beta	0.901
bid	38.94
bidSize	100
bookValue	50.15
city	Athens
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Georgios Giouroukos Youroukos', 'age': 60, 'title': 'Executive Chairman', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Thomas A. Lister', 'age': 55, 'title': 'Chief Executive Officer', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Anastasios  Psaropoulos', 'age': 55, 'title': 'CFO & Treasurer', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. George  Giannopoulos', 'age': 42, 'title': 'Chief Compliance Officer', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Maria  Danezi', 'title': 'Company Secretary', 'exercisedValue': 0, 'unexercisedValue': 0}]
corporateActions	[]
country	Greece
cryptoTradeable	False
currency	USD
currentPrice	38.89
currentRatio	2.044
customPriceAlertConfidence	HIGH
dateShortInterest	1770940800
dayHigh	39.21
dayLow	37.7
debtToEquity	38.263
discount_to_intrinsic_value	91.14
displayName	Global Ship Lease
dividendDate	1772755200
dividendRate	2.5
dividendYield	6.44
earningsCallTimestampEnd	1772724600
earningsCallTimestampStart	1772724600
earningsGrowth	0.099
earningsQuarterlyGrowth	0.108
earningsTimestamp	1772717400
earningsTimestampEnd	1779107400
earningsTimestampStart	1779107400
ebitda	497324992
ebitdaMargins	0.66049004
enterpriseToEbitda	3.237
enterpriseToRevenue	2.138
enterpriseValue	1609973888
epsCurrentYear	9.68
epsForward	9.415
epsTrailingTwelveMonths	11.07
eps_normalized_growth	0.14361580296574195
esgPopulated	False
exDividendDate	1771891200
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	37.179
