Metric	Value
52WeekChange	0.58467245
SandP52WeekChange	0.2842635
address1	10624 S. Eastern Ave.
address2	Suite A -638
allTimeHigh	150.1
allTimeLow	0.97
ask	13.46
askSize	71
auditRisk	9
averageAnalystRating	1.3 - Strong Buy
averageDailyVolume10Day	20115870
averageDailyVolume3Month	20934483
averageVolume	20934483
averageVolume10days	20115870
beta	3.72
bid	13.33
bidSize	32
boardRisk	9
bookValue	5.405
city	Henderson
companyOfficers	[{'maxAge': 1, 'name': 'Mr. S. Matthew Schultz', 'age': 56, 'title': 'CEO & Chairman', 'yearBorn': 1969, 'fiscalYear': 2025, 'totalPay': 7802870, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Taylor  Monnig', 'title': 'CTO & COO', 'fiscalYear': 2025, 'totalPay': 1488095, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Scott E. Garrison', 'title': 'Executive VP & Chief Development Officer', 'fiscalYear': 2025, 'totalPay': 1488072, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Brian  Carson', 'age': 50, 'title': 'Chief Accounting Officer', 'yearBorn': 1975, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Barbara  Domingo', 'title': 'Senior Director of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Leighton Rudolph Koehler', 'age': 46, 'title': 'Corporate Secretary & General Counsel', 'yearBorn': 1979, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Bradley  Audiss', 'title': 'Senior Vice President of Operations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Harry E. Sudock', 'age': 31, 'title': 'Chief Business Officer', 'yearBorn': 1994, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jeffrey  Thomas', 'title': 'SVP of AI Data Centers', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	10
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	13.41
currentRatio	10.542
customPriceAlertConfidence	HIGH
dateShortInterest	1776211200
dayHigh	13.5693
dayLow	13.0
debtToEquity	129.758
displayName	CleanSpark
dividendDate	1576022400
earningsCallTimestampEnd	1778531400
earningsCallTimestampStart	1778531400
earningsTimestamp	1778529600
earningsTimestampEnd	1778529600
earningsTimestampStart	1778529600
ebitda	-228896000
ebitdaMargins	-0.29152
enterpriseToEbitda	-20.159
enterpriseToRevenue	5.877
enterpriseValue	4614244352
epsCurrentYear	-1.8
epsForward	-0.615
epsTrailingTwelveMonths	-1.06
esgPopulated	False
exchange	NCM
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	10.3816
fiftyDayAverageChange	3.0283995
fiftyDayAverageChangePercent	0.29170835
fiftyTwoWeekChangePercent	58.467247
fiftyTwoWeekHigh	23.61
fiftyTwoWeekHighChange	-10.200001
fiftyTwoWeekHighChangePercent	-0.43202037
fiftyTwoWeekLow	7.82
fiftyTwoWeekLowChange	5.5899997
fiftyTwoWeekLowChangePercent	0.7148337
fiftyTwoWeekRange	7.82 - 23.61
financialCurrency	USD
firstTradeDateMilliseconds	1479306600000
floatShares	246911535
forwardEps	-0.615
forwardPE	-21.804878
freeCashflow	-307704640
fullExchangeName	NasdaqCM
fullTimeEmployees	309
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1777593600
grossMargins	0.53077
grossProfits	416756000
hasPrePostMarketData	True
heldPercentInsiders	0.0354
heldPercentInstitutions	0.8582
impliedSharesOutstanding	255752913
industry	Capital Markets
industryDisp	Capital Markets
industryKey	capital-markets
isEarningsDateEstimate	False
