Metric	Value
52WeekChange	0.3244313
SandP52WeekChange	0.18899727
address1	Esplanaden 50
allTimeHigh	19.14
allTimeLow	3.54
ask	13.0
askSize	2200
averageAnalystRating	3.0 - Hold
averageDailyVolume10Day	53660
averageDailyVolume3Month	98191
averageVolume	98191
averageVolume10days	53660
beta	0.532
bid	12.94
bidSize	370
bookValue	18.583
city	Copenhagen
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Vincent  Clerc', 'age': 53, 'title': 'CEO & Member of Management Board', 'yearBorn': 1972, 'fiscalYear': 2025, 'totalPay': 4107625, 'exercisedValue': 0, 'unexercisedValue': 1868810}, {'maxAge': 1, 'name': 'Mr. Robert  Erni', 'age': 59, 'title': 'CFO & Member of the Executive Board', 'yearBorn': 1966, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Rabab  Boulos', 'title': 'Chief Operating Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Navneet  Kapoor', 'age': 55, 'title': 'Chief Technology & Information Officer', 'yearBorn': 1970, 'fiscalYear': 2025, 'totalPay': 2033738, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Martin Christopher Dunwoodie', 'title': 'Head of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mikkel  Linnet', 'title': 'Head of Global Media Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Susana  Elvira', 'title': 'Chief People Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Caroline  Pontoppidan', 'age': 60, 'title': 'Chief Corporate Affairs Officer', 'yearBorn': 1965, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Katharina  Poehlmann', 'title': 'Senior VP & Head of Strategy', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Karsten  Kildahl', 'title': 'Chief Commercial Officer & Emerging Markets', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
corporateActions	[]
country	Denmark
cryptoTradeable	False
currency	USD
currentPrice	12.96
currentRatio	1.976
customPriceAlertConfidence	LOW
dayHigh	12.96
dayLow	12.91
debtToEquity	31.709
discount_to_intrinsic_value	-201.6
dividendDate	1776124800
dividendRate	0.37
dividendYield	2.75
earningsCallTimestampEnd	1746694800
earningsCallTimestampStart	1746694800
earningsGrowth	-0.946
earningsQuarterlyGrowth	-0.954
earningsTimestampEnd	1754548200
earningsTimestampStart	1754548200
ebitda	5208999936
ebitdaMargins	0.09712
enterpriseToEbitda	7.404
enterpriseToRevenue	0.719
enterpriseValue	38568570880
epsForward	-0.28262
epsTrailingTwelveMonths	0.54
eps_normalized_growth	-0.9617157517620758
esgPopulated	False
exDividendDate	1774569600
exchange	PNK
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	12.64
fiftyDayAverageChange	0.3199997
fiftyDayAverageChangePercent	0.02531643
fiftyTwoWeekChangePercent	32.44313
fiftyTwoWeekHigh	14.32
fiftyTwoWeekHighChange	-1.3599997
fiftyTwoWeekHighChangePercent	-0.094972044
fiftyTwoWeekLow	9.23
fiftyTwoWeekLowChange	3.7300005
fiftyTwoWeekLowChangePercent	0.40411708
fiftyTwoWeekRange	9.23 - 14.32
financialCurrency	USD
firstTradeDateMilliseconds	1331731800000
fiveYearAvgDividendYield	10.28
floatShares	1591297125
forwardEps	-0.28262
forwardPE	-45.856625
freeCashflow	2642249984
fullExchangeName	OTC Markets OTCPK
fullTimeEmployees	100000
gmtOffSetMilliseconds	-14400000
graham_intrinsic_value	4.3
grossMargins	0.17126
grossProfits	9185999872
hasPrePostMarketData	False
heldPercentInsiders	0.0
heldPercentInstitutions	0.0002
impliedSharesOutstanding	2889509600
industry	Marine Shipping
industryDisp	Marine Shipping
industryKey	marine-shipping
irWebsite	http://investor.maersk.com/index.cfm
isEarningsDateEstimate	False
language	en-US
lastDividendDate	1774569600
lastDividendValue	0.379
lastFiscalYearEnd	1767139200
lastSplitDate	1397088000
lastSplitFactor	2:1
