Metric	Value
52WeekChange	1.719193
SandP52WeekChange	0.22635591
address1	1701 East Mossy Oaks Road
allTimeHigh	64.25
allTimeLow	6.756532
ask	47.93
askSize	300
auditRisk	2
averageAnalystRating	2.1 - Buy
averageDailyVolume10Day	57170530
averageDailyVolume3Month	23739822
averageVolume	23739822
averageVolume10days	57170530
beta	1.448
bid	47.87
bidSize	400
boardRisk	1
bookValue	18.642
city	Spring
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Antonio Fabio Neri', 'age': 58, 'title': 'CEO, President & Director', 'yearBorn': 1967, 'fiscalYear': 2025, 'totalPay': 3840071, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Marie E. Myers', 'age': 57, 'title': 'Executive VP & CFO', 'yearBorn': 1968, 'fiscalYear': 2025, 'totalPay': 2572554, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. John F. Schultz J.D.', 'age': 61, 'title': 'Executive VP and Chief Operating & Legal Officer', 'yearBorn': 1964, 'fiscalYear': 2025, 'totalPay': 2011366, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Fidelma M. Russo', 'age': 62, 'title': 'Executive VP, GM of Hybrid Cloud & CTO', 'yearBorn': 1963, 'fiscalYear': 2025, 'totalPay': 1659522, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Rami  Rahim', 'age': 54, 'title': 'Executive VP, President & GM of Networking', 'yearBorn': 1971, 'fiscalYear': 2025, 'totalPay': 2663607, 'exercisedValue': 0, 'unexercisedValue': 4954572}, {'maxAge': 1, 'name': 'Mr. Jeremy K. Cox', 'age': 47, 'title': 'Senior VP, Corporate Controller, Chief Tax Officer & Principal Accounting Officer', 'yearBorn': 1978, 'fiscalYear': 2025, 'totalPay': 1143956, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Rom  Kosla', 'title': 'Chief Information Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Paul  Glaser J.D.', 'title': 'Head of Hewlett Packard Pathfinder & Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Jennifer  Temple', 'title': 'Executive VP and Chief Marketing & Communications Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Kirt Paul Karros C.F.A.', 'age': 56, 'title': 'Senior VP, Treasurer & Head of Corporate Development', 'yearBorn': 1969, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	10
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	48.27
currentRatio	1.088
customPriceAlertConfidence	HIGH
dateShortInterest	1778803200
dayHigh	50.5
dayLow	45.73
debtToEquity	84.03
discount_to_intrinsic_value	20.08
dividendDate	1784073600
dividendRate	0.57
dividendYield	1.14
earningsCallTimestampEnd	1780347600
earningsCallTimestampStart	1780347600
earningsGrowth	-0.303
earningsQuarterlyGrowth	-0.279
earningsTimestamp	1780344000
earningsTimestampEnd	1780344000
earningsTimestampStart	1780344000
ebitda	5631000064
ebitdaMargins	0.14515
enterpriseToEbitda	14.206
enterpriseToRevenue	2.062
enterpriseValue	79992307712
epsCurrentYear	3.41397
epsForward	4.01498
epsTrailingTwelveMonths	1.07
eps_normalized_growth	2.825557906140604
esgPopulated	False
exDividendDate	1781568000
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	32.0312
fiftyDayAverageChange	16.2388
fiftyDayAverageChangePercent	0.5069682
fiftyTwoWeekChangePercent	171.9193
fiftyTwoWeekHigh	64.25
fiftyTwoWeekHighChange	-15.98
fiftyTwoWeekHighChangePercent	-0.24871595
fiftyTwoWeekLow	17.49
fiftyTwoWeekLowChange	30.78
fiftyTwoWeekLowChangePercent	1.7598629
fiftyTwoWeekRange	17.49 - 64.25
financialCurrency	USD
firstTradeDateMilliseconds	1445261400000
fiveYearAvgDividendYield	2.85
floatShares	1318310815
forwardEps	4.01498
forwardPE	12.022476
freeCashflow	3836000000
fullExchangeName	NYSE
fullTimeEmployees	67000
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1780531200
graham_intrinsic_value	60.4
grossMargins	0.33776
grossProfits	13102999552
hasPrePostMarketData	True
heldPercentInsiders	0.00391
heldPercentInstitutions	0.94262004
impliedSharesOutstanding	1324203521
industry	Communication Equipment
industryDisp	Communication Equipment
industryKey	communication-equipment
isEarningsDateEstimate	False
language	en-US
lastDividendDate	1774310400
lastDividendValue	0.143
lastFiscalYearEnd	1761868800
lastSplitDate	1504224000
lastSplitFactor	1289:1000
