Earnings Date	EPS Estimate	Reported EPS	Surprise(%)
2026-08-10 16:00:00-04:00	-0.3		
2026-05-11 16:00:00-04:00	-0.17	-0.66	-298.65
2026-03-02 16:00:00-05:00	-0.2	-0.26	-30.0
2025-11-10 16:00:00-05:00	-0.26	-0.45	-74.39
2025-08-11 16:00:00-04:00	-0.08	-0.41	-412.5
2025-05-12 16:00:00-04:00	-0.2	-0.2	-0.04
2025-03-03 16:00:00-05:00	-0.18	-0.12	29.24
2024-11-14 16:00:00-05:00	-0.2	-1.1	-443.05
2024-08-14 16:00:00-04:00	-0.22	-0.51	-133.39
2024-05-15 16:00:00-04:00	-0.21	-0.16	24.03
2024-04-01 16:00:00-04:00	-0.24	-0.37	-57.15
2023-11-14 16:00:00-05:00	-0.19	-0.23	-21.05
2023-08-14 16:00:00-04:00	-0.16	-0.24	-50.0
2023-05-15 16:00:00-04:00	-0.49	-0.23	53.06
2023-03-31 06:00:00-04:00	-0.19	-0.14	26.32
2022-03-31 16:00:00-04:00	-0.09	-0.41	-354.33
2021-11-15 16:00:00-05:00	-1.03	-0.68	33.84
2021-08-16 16:00:00-04:00	-1.03	0.42	140.73
