Metric	Value
52WeekChange	-0.3718272
SandP52WeekChange	0.15480888
address1	980 Rock Avenue
allTimeHigh	122.9
allTimeLow	0.363
ask	32.49
askSize	12
auditRisk	10
averageAnalystRating	2.6 - Hold
averageDailyVolume10Day	28358110
averageDailyVolume3Month	28436388
averageVolume	28436388
averageVolume10days	28358110
beta	1.523
bid	32.36
bidSize	12
boardRisk	9
bookValue	11.674
city	San Jose
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Charles  Liang', 'age': 67, 'title': 'Founder, Chairman of the Board, President & CEO', 'yearBorn': 1958, 'fiscalYear': 2025, 'totalPay': 442, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Yih-Shyan  Liaw', 'age': 70, 'title': 'Co-Founder, Senior VP of Business Development & Director', 'yearBorn': 1955, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Chiu-Chu  Liu Liang', 'age': 63, 'title': 'Co-Founder, Senior VP & Director', 'yearBorn': 1962, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. David E. Weigand', 'age': 67, 'title': 'Senior VP, CFO, Company Secretary & Chief Compliance Officer', 'yearBorn': 1958, 'fiscalYear': 2025, 'totalPay': 795016, 'exercisedValue': 0, 'unexercisedValue': 7947062}, {'maxAge': 1, 'name': 'Mr. Don W. Clegg', 'age': 66, 'title': 'Senior Vice President of Worldwide Sales', 'yearBorn': 1959, 'fiscalYear': 2025, 'totalPay': 675833, 'exercisedValue': 0, 'unexercisedValue': 1879486}, {'maxAge': 1, 'name': 'Mr. George  Kao', 'age': 63, 'title': 'Consultant', 'yearBorn': 1962, 'fiscalYear': 2025, 'totalPay': 547037, 'exercisedValue': 1225887, 'unexercisedValue': 8533913}, {'maxAge': 1, 'name': 'Mr. Kenneth  Cheung', 'title': 'Chief Accounting Officer', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Yitai  Hu', 'title': 'SVP of Corporate Development & General Counsel', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Vik  Malyala', 'title': 'Senior VP, MD & President of the EMEA Division', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Michael Thomas Staiger', 'title': 'Senior Vice President of Corporate Development', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	9
corporateActions	[]
country	United States
cryptoTradeable	False
currency	USD
currentPrice	32.42
currentRatio	1.697
customPriceAlertConfidence	HIGH
dateShortInterest	1769731200
dayHigh	32.91
dayLow	31.415
debtToEquity	75.28
displayName	Super Micro Computer
earningsCallTimestampEnd	1770156000
earningsCallTimestampStart	1770156000
earningsGrowth	0.192
earningsQuarterlyGrowth	0.249
earningsTimestamp	1770152400
earningsTimestampEnd	1778014800
earningsTimestampStart	1778014800
ebitda	1096866048
ebitdaMargins	0.03909
enterpriseToEbitda	18.76
enterpriseToRevenue	0.733
enterpriseValue	20576837632
epsCurrentYear	2.23855
epsForward	2.96094
epsTrailingTwelveMonths	1.37
esgPopulated	False
exchange	NMS
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EST
executiveTeam	[]
fax	408 503 8008
