Earnings Date	EPS Estimate	Reported EPS	Surprise(%)
2026-04-30 17:00:00-04:00	-15.66		
2026-02-05 16:00:00-05:00	-20.99	-42.93	-104.53
2025-10-30 16:00:00-04:00	9.67	8.42	-12.95
2025-07-31 16:00:00-04:00	21.48	32.52	51.4
2025-05-01 16:00:00-04:00	-0.02	-16.53	-70752.98
2025-02-05 16:00:00-05:00	-0.08	-3.03	-3507.14
2024-10-30 16:00:00-04:00	-0.12	-1.72	-1298.37
2024-08-01 16:00:00-04:00	-0.11	-0.57	-419.46
2024-04-29 16:00:00-04:00	-0.08	-0.31	-306.58
2024-02-06 16:00:00-05:00	0.02	0.56	2534.79
2023-11-01 16:00:00-04:00	0.07	-0.9	-1401.45
2023-08-01 16:00:00-04:00	-0.05	0.15	392.31
2023-05-01 16:00:00-04:00	-0.13	3.18	2564.34
2023-02-02 16:00:00-05:00		-2.19	-109750.0
2022-11-01 16:00:00-04:00	0.1	-0.1	-194.12
2022-08-02 16:00:00-04:00	-1.37	-9.4	-585.95
2022-05-03 16:00:00-04:00	-0.21	-1.04	-397.37
2022-02-01 16:00:00-05:00	0.15	-0.01	-105.93
2021-10-28 16:00:00-04:00	0.12	0.19	49.7
2021-07-29 16:00:00-04:00	0.1	0.17	71.14
2021-04-29 16:00:00-04:00	-0.1	-1.14	-1033.31
2021-01-28 16:00:00-05:00	0.16	0.03	-83.29
2020-10-27 16:00:00-04:00	0.04	-0.15	-477.36
2020-07-28 16:00:00-04:00	0.04	0.04	-12.5
2020-04-28 17:00:00-04:00	0.02	0.01	-63.31
