Metric	Value
52WeekChange	0.38924098
SandP52WeekChange	0.13489318
address1	2, place Jean Millier
address2	Arche Nord – Coupole / Regnault Paris La Défense cedex
allTimeHigh	91.38
allTimeLow	9.75
ask	91.62
askSize	100
auditRisk	3
averageAnalystRating	2.4 - Buy
averageDailyVolume10Day	2480260
averageDailyVolume3Month	1876055
averageVolume	1876055
averageVolume10days	2480260
beta	0.281
bid	87.6
bidSize	200
boardRisk	6
bookValue	53.611
city	Courbevoie
companyOfficers	[{'maxAge': 1, 'name': 'Mr. Patrick  Pouyanne', 'age': 62, 'title': 'Chairman & CEO', 'yearBorn': 1963, 'fiscalYear': 2025, 'totalPay': 4806210, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jean-Pierre  Sbraire', 'age': 60, 'title': 'Chief Financial Officer', 'yearBorn': 1965, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Marie-Noëlle  Semeria', 'title': 'Senior VP & Group CTO', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Michel  Hourcard', 'title': 'SVP of Development & Ops Techniques - Exploration/Production & SVP of Scientific & Technical Center', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Renaud  Lions', 'title': 'Senior Vice President of Investor Relations', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jacques-Emmanuel  Saulnier', 'title': 'Senior Vice President of Corporate Communications', 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Catherine  Remy', 'age': 47, 'title': 'President of People & Social Engagement', 'yearBorn': 1978, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Bernard  Pinatel', 'age': 63, 'title': 'President of Downstream and President of Marketing & Services', 'yearBorn': 1962, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Martin  Deffontaines', 'age': 60, 'title': 'Senior Vice President of Talent Management', 'yearBorn': 1965, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Helle  Kristoffersen', 'age': 61, 'title': 'President of Asia', 'yearBorn': 1964, 'fiscalYear': 2025, 'exercisedValue': 0, 'unexercisedValue': 0}]
compensationAsOfEpochDate	1767139200
compensationRisk	1
corporateActions	[]
country	France
cryptoTradeable	False
currency	USD
currentPrice	89.87
currentRatio	0.967
customPriceAlertConfidence	HIGH
dateShortInterest	1773360000
dayHigh	90.9518
dayLow	89.58
debtToEquity	52.263
discount_to_intrinsic_value	-83.75
dividendDate	1776902400
dividendRate	3.91
dividendYield	4.35
earningsCallTimestampEnd	1770818400
earningsCallTimestampStart	1770818400
earningsGrowth	-0.228
earningsQuarterlyGrowth	-0.265
earningsTimestamp	1777492800
earningsTimestampEnd	1777492800
earningsTimestampStart	1777492800
ebitda	32878999552
ebitdaMargins	0.18031
enterpriseToEbitda	6.907
enterpriseToRevenue	1.245
enterpriseValue	227107897344
epsCurrentYear	9.54261
epsForward	8.41999
epsTrailingTwelveMonths	5.78
eps_normalized_growth	-0.20341307294650723
esgPopulated	False
exDividendDate	1774915200
exchange	NYQ
exchangeDataDelayedBy	0
exchangeTimezoneName	America/New_York
exchangeTimezoneShortName	EDT
executiveTeam	[]
fiftyDayAverage	77.899
fiftyDayAverageChange	11.971001
fiftyDayAverageChangePercent	0.15367335
fiftyTwoWeekChangePercent	38.9241
fiftyTwoWeekHigh	91.38
fiftyTwoWeekHighChange	-1.5099945
fiftyTwoWeekHighChangePercent	-0.016524345
fiftyTwoWeekLow	52.78
fiftyTwoWeekLowChange	37.090004
fiftyTwoWeekLowChangePercent	0.7027284
fiftyTwoWeekRange	52.78 - 91.38
financialCurrency	USD
firstTradeDateMilliseconds	688397400000
fiveYearAvgDividendYield	5.48
floatShares	1782450091
forwardEps	8.41999
forwardPE	10.67341
freeCashflow	13514500096
fullExchangeName	NYSE
gmtOffSetMilliseconds	-14400000
governanceEpochDate	1772323200
graham_intrinsic_value	48.91
grossMargins	0.35978
grossProfits	65604001792
hasPrePostMarketData	True
heldPercentInsiders	0.05547
heldPercentInstitutions	0.53955
impliedSharesOutstanding	2144779368
industry	Oil & Gas Integrated
industryDisp	Oil & Gas Integrated
industryKey	oil-gas-integrated
isEarningsDateEstimate	False
language	en-US
lastDividendDate	1759190400
lastDividendValue	0.994
lastFiscalYearEnd	1767139200
lastSplitDate	1148342400
lastSplitFactor	2:1
longBusinessSummary	TotalEnergies SE, an integrated energy company, produces and markets oil and biofuels, natural gas, biogas and low-carbon hydrogen, renewables, and electricity in France, the United States, Europe, Brazil, India, and internationally. The company was formerly known as TOTAL SE and changed its name to TotalEnergies SE in June 2021. TotalEnergies SE was incorporated in 1924 and is headquartered in Courbevoie, France.
longName	TotalEnergies SE
market	us_market
marketCap	192751337472
marketState	CLOSED
maxAge	86400
messageBoardId	finmb_326300
mostRecentQuarter	1767139200
nameChangeDate	2026-03-29
netIncomeToCommon	13127000064
nextFiscalYearEnd	1798675200
nonDilutedMarketCap	193314165414
numberOfAnalystOpinions	8
open	90.0
operatingCashflow	27342999552
operatingMargins	0.09474
overallRisk	4
payoutRatio	0.6656
pegRatio	2.193
phone	33 1 47 44 46 46
postMarketChange	1.2799988
postMarketChangePercent	1.4242781
postMarketPrice	91.15
postMarketTime	1774655891
prevName	TOTAL SE
previousClose	89.95
priceEpsCurrentYear	9.417759
priceHint	2
priceToBook	1.6763351
priceToSalesTrailing12Months	1.0570753
profitMargins	0.07199
quickRatio	0.52
quoteSourceName	Delayed Quote
quoteType	EQUITY
recommendationKey	buy
recommendationMean	2.375
region	US
regularMarketChange	-0.0799942
regularMarketChangePercent	-0.0889319
regularMarketDayHigh	90.9518
regularMarketDayLow	89.58
regularMarketDayRange	89.58 - 90.9518
regularMarketOpen	90.0
regularMarketPreviousClose	89.95
regularMarketPrice	89.87
regularMarketTime	1774641602
regularMarketVolume	1418462
returnOnAssets	0.04378
returnOnEquity	0.112349994
revenueGrowth	-0.025
revenuePerShare	81.122
sector	Energy
sectorDisp	Energy
sectorKey	energy
shareHolderRightsRisk	7
sharesOutstanding	2135295220
sharesPercentSharesOut	0.0023
sharesShort	4989906
sharesShortPreviousMonthDate	1770940800
sharesShortPriorMonth	5100554
shortName	TotalEnergies SE
shortPercentOfFloat	0.0023
shortRatio	2.43
sourceInterval	15
symbol	TTE
targetHighPrice	102.5
targetLowPrice	73.0
targetMeanPrice	86.9375
targetMedianPrice	90.0
totalCash	29533999104
totalCashPerShare	13.782
totalDebt	61420998656
totalRevenue	182344007680
tradeable	False
trailingAnnualDividendRate	3.992
trailingAnnualDividendYield	0.044380214
trailingEps	5.78
trailingPE	15.548443
trailingPegRatio	2.1182
triggerable	True
twoHundredDayAverage	66.38675
twoHundredDayAverageChange	23.483253
twoHundredDayAverageChangePercent	0.35373405
typeDisp	Equity
volume	1418462
website	https://totalenergies.com
zip	92078
